Begin Time - ss.msec	End Time - ss.msec	Speech	Speech AMR	Gesture - Label	Gesture AMR
1.07	1.75	okay			
1.85	1.97	uh			
1.99	2.3	    go			
2.3	    2.61	ahead			
2.71	4.19	alright			
4.37	4.46	you			
4.46	4.55	there			
4.69	5.17	liz			
5.27	5.71	yes			
5.71	6.15	i			
6.15	6.59	am			
6.63	6.8	    okay			
6.8	    6.97	now			
6.97	7.15	we			
7.19	7.39	can't			
7.43	7.63	talk			
7.75	7.95	though			
7.99	8.4	    correct			
8.4	    8.81	uh			
8.85	8.92	you			
8.92	8.99	can			
9.33	9.43	oh			
9.47	9.61	we			
9.65	10.49	can			
10.61	10.71	alright			
10.73	10.85	well			
10.89	10.99	take			
11.09	11.21	one			
11.25	11.41	block			
11.47	11.53	and			
11.55	11.65	put			
11.69	11.75	it			
11.77	11.83	on			
11.87	11.93	the			
11.97	13.79	table			
13.89	14.43	okay			
14.45	14.59	take			
14.61	14.89	another			
14.95	15.15	block			
15.19	15.31	put			
15.31	15.43	it			
15.45	15.65	next			
15.67	15.77	to			
15.83	18.29	it			
18.31	18.49	spread			
18.53	18.63	them			
18.69	18.93	apart			
19.01	19.03	a			
19.07	19.31	little			
19.37	20.21	bit			
20.25	20.53	but			
20.59	20.77	not			
20.83	21.01	as			
21.11	21.27	wide			
21.33	21.45	as			
21.55	21.61	a			
21.67	21.93	full			
22.03	24.45	block			
24.51	24.73	take			
24.83	24.97	one			
25.05	25.97	block			
25.99	26.11	put			
26.15	26.21	it			
26.31	26.43	on			
26.47	26.63	top			
26.67	26.73	of			
26.77	26.99	those			
27.05	27.17	two			
27.21	27.27	in			
27.29	27.35	the			
27.41	30.81	middle			
30.91	31.05	one			
31.11	31.33	block			
31.43	31.51	on			
31.57	31.79	each			
31.87	38.39	side			
38.49	38.59	one			
38.67	38.89	block			
38.97	39.13	on			
39.17	39.37	top			
39.45	39.51	of			
39.59	39.73	each			
39.77	39.81	of			
39.87	40.21	those			
40.27	46.05	two			
46.09	46.23	does			
46.27	46.33	it			
46.35	46.51	matter			
46.55	46.79	which			
46.85	47.03	side			
47.09	47.15	it			
47.19	47.49	goes			
47.53	48.37	to			
49.21	49.85	okay			
49.85	50.49	stack			
50.51	50.79	three			
