Begin Time - ss.msec	End Time - ss.msec	Speech	Speech AMR	Gesture - Label	Gesture AMR
0.72	3.46	alright			
3.5	    3.7	    good			
3.8	    5.39	byebye			
5.39	6.98	alright			
7.3	    7.44	get			
7.48	7.64	two			
7.7	    9.86	blocks			
10.12	10.2	put			
10.24	10.28	them			
10.28	10.32	in			
10.32	10.36	the			
10.4	10.76	yep			
10.78	10.9	just			
10.94	11.04	like			
11.1	11.24	that			
11.28	11.42	but			
11.46	11.64	closer			
11.72	12.36	together			
12.44	12.6	alright			
12.64	12.77	get			
12.77	12.9	two			
12.9	13.03	more			
13.06	15.5	blocks			
15.6	15.76	and			
15.8	16.02	keep			
16.12	16.48	them			
16.54	16.66	like			
16.7	16.9	turn			
16.94	17.08	them			
17.14	18.0	hor-			
18.02	19.16	vertically			
19.2	19.32	like			
19.38	19.9	orient			
19.9	20.42	them			
20.42	20.94	towards			
21.0	21.36	you			
21.42	21.74	yep			
21.78	21.86	and			
21.9	21.98	then			
22.0	22.12	put			
22.14	22.24	them			
22.26	22.3	to			
22.42	22.48	the			
22.66	22.96	side			
23.02	23.18	of			
23.24	23.54	that			
23.6	23.74	little			
23.78	24.74	section			
24.76	24.84	so			
24.86	24.94	they			
24.98	25.08	line			
25.14	26.26	up			
26.3	26.36	doesn't			
26.42	28.12	matter			
28.16	28.26	now			
28.3	28.36	do			
28.4	28.46	it			
28.48	28.54	on			
28.56	28.62	the			
28.64	28.84	other			
28.88	34.7	side			
34.74	34.78	okay			
34.78	34.82	then			
34.86	34.98	get			
35.0	35.14	two			
35.2	35.54	blocks			
35.58	35.66	and			
35.68	35.78	put			
35.86	36.0	them			
36.18	36.42	on			
36.48	38.7	the			
38.74	39.06	center			
39.08	39.2	them			
39.28	39.4	on			
39.44	39.58	top			
39.62	39.68	of			
39.72	39.86	where			
39.9	40.02	the			
40.06	40.24	three			
40.28	40.5	blocks			
40.56	40.66	meet			
40.7	40.8	on			
40.86	41.0	it			
41.04	41.32	either			
41.36	41.8	side			
43.4	43.46	yep			
43.48	43.53	and			
43.53	43.58	then			
43.62	43.74	get			
43.78	43.84	the			
43.88	44.12	last			
44.18	44.36	block			
44.4	44.46	or			
44.48	44.76	another			
44.84	45.22	block			
45.26	45.34	and			
45.38	45.5	put			
45.56	45.74	it			
45.82	45.96	on			
46.0	46.16	top			
46.22	46.26	of			
46.34	46.42	the			
46.56	47.54	one			
47.6	47.76	move			
47.78	47.94	those			
47.98	48.26	together			
48.3	48.32	a			
48.36	48.54	little			
48.58	48.7	bit			
48.74	48.98	closer			
49.02	49.06	and			
49.1	49.2	then			
49.24	49.34	put			
49.4	49.5	that			
49.56	49.7	on			
49.74	49.88	top			
49.88	50.02	yay			
7.3	    9.86		(g / get-01 :mode imperative 	:ARG0 (y / you)     :ARG1 (b / block     	:quant 2))		
10.115	10.745		(p / put-01 	:mode imperative  	:ARG0 (y / you)  	:ARG1 (t / them)  	:ARG2 (i / in))		
