Begin Time - ss.msec	End Time - ss.msec	Speech	Speech AMR	Gesture - Label	Gesture AMR
1.89	3.23	Alright			
3.25	3.35	so			
3.39	3.53	You’re			
3.55	3.69	Gonna			
3.73	4.11	have			
4.27	4.83	a			
4.85	5.31	starting			
5.45	7.13	at			
7.23	7.51	Row			
7.59	10.09	three			
10.15	10.39	Column			
12.09	13.65	three			
13.69	13.85	you're			
13.89	14.01	Gonna			
14.01	14.13	Have			
14.13	14.29	one			
14.37	15.79	block			
15.85	15.91	and			
15.93	16.01	then			
16.05	16.19	you're			
16.21	16.31	going			
16.33	16.37	to			
16.41	16.77	put			
16.77	16.89	one			
16.95	17.09	right			
17.17	17.31	next			
17.35	17.43	to			
17.49	17.55	it			
17.61	17.67	and			
17.81	17.89	one			
17.93	18.23	right			
18.25	18.43	next			
18.47	18.51	to			
18.65	19.53	that			
19.57	19.69	just			
19.73	19.85	like			
19.91	20.11	that			
20.15	22.03	Yeah			
22.27	22.79	Okay			
22.83	22.89	and			
22.93	23.09	then			
23.11	23.27	That’s			
23.31	23.49	It			
23.51	23.63	for			
23.67	23.81	your			
23.87	24.17	base			
24.25	24.51	Uh			
24.53	24.67	your			
24.71	25.01	Height			
25.01	25.16	you’re			
25.16	25.32	every			
25.33	25.49	things			
25.55	25.69	on			
25.73	25.87	top			
25.93	26.01	of			
26.05	27.15	that			
27.19	27.35	so			
27.39	27.71	then			
27.73	27.85	your			
27.89	28.11	next			
28.19	28.29	one			
28.33	28.41	is			
28.45	28.55	going			
28.57	28.63	to			
28.69	29.83	be			
30.25	30.37	Up			
30.37	30.61	one			
30.65	30.71	and			
30.75	30.85	it's			
30.87	30.97	going			
30.99	31.03	to			
31.05	31.15	be			
31.19	31.47	shifted			
31.53	31.77	over			
31.81	31.95	half			
32.05	32.11	a			
32.17	32.59	block			
32.67	32.97	to			
33.19	34.07	Your			
34.07	34.95	Hold			
34.95	36.15	On			
36.15	36.95	Okay			
37.95	38.19	So			
38.19	38.43	Yeah			
38.43	38.69	Just			
38.69	38.81	like			
38.85	39.07	that			
39.11	39.17	and			
39.19	39.29	then			
39.35	39.41	the			
39.45	39.63	next			
39.73	40.63	ones			
40.67	41.35	going			
41.35	41.81	Yep			
41.81	42.05	just			
42.09	42.21	like			
42.27	43.19	that			
43.25	43.31	and			
43.35	43.49	There’s			
43.53	43.63	Gonna			
43.67	43.79	be			
43.83	43.99	third			
44.07	44.13	one			
44.17	44.31	that's			
44.33	44.43	going			
44.45	44.49	to			
44.53	44.65	hang			
44.71	45.21	over			
45.25	45.55	The			
45.55	45.95	Edge			
45.95	46.55	Nope			
46.55	46.85	On			
46.85	47.55	Uh			
47.55	47.85	Height			
47.85	48.25	One			
48.25	48.5	Yeah			
48.5	48.71	Just			
48.71	48.81	like			
48.85	50.35	that			
50.43	50.87	so			
50.95	50.99	Yeah			
51.11	51.31	You			
51.31	51.51	Can			
51.51	51.71	Scoot			
51.71	51.91	It			
51.91	52.11	In			
52.11	52.31	There			
52.31	52.51	You			
52.51	52.81	Go			
52.91	53.11	Just			
53.11	53.23	like			
53.27	53.49	that			
53.55	53.61	and			
53.63	53.71	then			
53.73	53.81	You’re			
53.85	53.95	Gonna			
53.99	54.05	do			
54.07	54.17	that			
54.31	54.41	one			
54.45	54.63	more			
54.71	54.87	time			
54.93	54.99	in			
55.05	55.11	the			
55.17	55.31	same			
55.35	55.79	direction			
55.85	55.97	so			
56.01	56.15	It’s			
56.17	56.25	kind			
56.29	56.31	Of			
56.35	56.49	like			
56.59	57.09	a			
57.11	57.55	slanting			
57.61	57.81	height			
57.85	58.95	Three			
58.95	60.03	Yeah			
69.03	69.15	just			
69.19	69.31	like			
69.35	69.65	that			
69.85	70.53	Okay			
70.59	70.69	so			
70.73	70.87	now			
70.97	71.41	on			
71.47	71.65	top			
71.71	71.83	of			
71.89	72.59	that			
72.63	72.77	you're			
72.79	72.89	going			
72.91	72.97	to			
73.05	73.37	between			
73.47	74.19	the			
74.25	74.75	overlapping			
74.87	75.23	the			
75.47	76.17	two			
76.21	76.35	you're			
76.37	76.45	Going			
76.49	76.53	to			
76.55	76.65	have			
76.75	76.89	two			
76.93	77.33	blocks			
77.37	77.45	or			
77.53	77.63	the			
77.69	77.77	Uh			
77.81	78.03	middle			
78.07	78.35	Three			
78.39	78.47	so			
78.51	78.67	Yeah			
78.71	78.83	right			
78.87	79.01	like			
